*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr 16 2025 16:07:36
*************************************************
parsing config file: /pref/Pythia/config/coop_pythia.ini
unable to parse section: , name: bool coop_rl_enable, value: true
unable to parse section: , name: coop_enable_adaptive_alpha, value: true

trace_0 /pref/Pythia/STREAMING/traces/streaming_phase3_core0.trace.xz
trace_1 /pref/Pythia/STREAMING/traces/streaming_phase3_core1.trace.xz
trace_2 /pref/Pythia/STREAMING/traces/streaming_phase3_core2.trace.xz
trace_3 /pref/Pythia/STREAMING/traces/streaming_phase3_core3.trace.xz
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 8858
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152
======= Prefetcher Knob Settings =======
coop_enable_multicore: 0
coop_enable_bw_throttling: 1
coop_rl_enable: 0
coop_rl_ipc_threshold: 
coop_rl_alpha_high_ipc: 0.05
coop_rl_alpha_low_ipc: 0.01
coop_rl_bw_threshold: 10
========================================
fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 32
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 128
l2c_wq_size 32
l2c_pq_size 128
l2c_mshr_size 128
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 256
llc_wq_size 512
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

[CoopPythia Config]
 - Bandwidth-aware throttling: Enabled
 - Multicore cooperation: Disabled
 - RL Enabled: No
 - Adaptive Alpha: Enabled
 - IPC Threshold: 4
 - BW Threshold: 10
 - Alpha High: 0.05
 - Alpha Low: 0.01

Heartbeat CPU  3 instructions:    1000000 cycles:     666828 heartbeat IPC: 1.49964 cumulative IPC: 1.49964 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    1000002 cycles:     681974 heartbeat IPC: 1.46633 cumulative IPC: 1.46633 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  1 instructions:    1000001 cycles:     698352 heartbeat IPC: 1.43194 cumulative IPC: 1.43194 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  2 instructions:    1000000 cycles:     782681 heartbeat IPC: 1.27766 cumulative IPC: 1.27766 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  3 instructions:    2000000 cycles:    1262691 heartbeat IPC: 1.67824 cumulative IPC: 1.58392 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  1 instructions:    2000001 cycles:    1274558 heartbeat IPC: 1.73549 cumulative IPC: 1.56917 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:    1276816 heartbeat IPC: 1.68112 cumulative IPC: 1.56640 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  2 instructions:    2000002 cycles:    1439567 heartbeat IPC: 1.52234 cumulative IPC: 1.38931 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  1 instructions:    3000003 cycles:    1827259 heartbeat IPC: 1.80930 cumulative IPC: 1.64181 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  3 instructions:    3000002 cycles:    1832538 heartbeat IPC: 1.75486 cumulative IPC: 1.63707 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1852381 heartbeat IPC: 1.73742 cumulative IPC: 1.61954 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  2 instructions:    3000000 cycles:    2083247 heartbeat IPC: 1.55356 cumulative IPC: 1.44006 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    2387647 heartbeat IPC: 1.78447 cumulative IPC: 1.67529 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2398097 heartbeat IPC: 1.76816 cumulative IPC: 1.66799 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2427790 heartbeat IPC: 1.73789 cumulative IPC: 1.64759 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    2716606 heartbeat IPC: 1.57888 cumulative IPC: 1.47243 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  3 instructions:    5000003 cycles:    2953965 heartbeat IPC: 1.79899 cumulative IPC: 1.69264 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  1 instructions:    5000000 cycles:    2953966 heartbeat IPC: 1.76579 cumulative IPC: 1.69264 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2978263 heartbeat IPC: 1.81662 cumulative IPC: 1.67883 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  2 instructions:    5000000 cycles:    3331671 heartbeat IPC: 1.62584 cumulative IPC: 1.50075 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    6000001 cycles:    3478199 heartbeat IPC: 1.90754 cumulative IPC: 1.72503 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    3514064 heartbeat IPC: 1.86636 cumulative IPC: 1.70742 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  1 instructions:    6000001 cycles:    3524779 heartbeat IPC: 1.75189 cumulative IPC: 1.70223 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  2 instructions:    6000000 cycles:    3946819 heartbeat IPC: 1.62563 cumulative IPC: 1.52021 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  3 instructions:    7000000 cycles:    4016855 heartbeat IPC: 1.85647 cumulative IPC: 1.74266 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:    7000003 cycles:    4055819 heartbeat IPC: 1.84586 cumulative IPC: 1.72592 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  1 instructions:    7000001 cycles:    4090269 heartbeat IPC: 1.76838 cumulative IPC: 1.71138 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    4558629 heartbeat IPC: 1.84579 cumulative IPC: 1.75491 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  2 instructions:    7000001 cycles:    4590320 heartbeat IPC: 1.55400 cumulative IPC: 1.52495 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4607443 heartbeat IPC: 1.81282 cumulative IPC: 1.73632 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    4643979 heartbeat IPC: 1.80600 cumulative IPC: 1.72266 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  3 instructions:    9000002 cycles:    5104606 heartbeat IPC: 1.83158 cumulative IPC: 1.76311 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:    9000003 cycles:    5189087 heartbeat IPC: 1.71927 cumulative IPC: 1.73441 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  1 instructions:    9000001 cycles:    5203286 heartbeat IPC: 1.78793 cumulative IPC: 1.72968 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    5217795 heartbeat IPC: 1.59369 cumulative IPC: 1.53321 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  3 instructions:   10000001 cycles:    5677243 heartbeat IPC: 1.74631 cumulative IPC: 1.76142 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    5751130 heartbeat IPC: 1.77922 cumulative IPC: 1.73879 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  1 instructions:   10000001 cycles:    5769419 heartbeat IPC: 1.76637 cumulative IPC: 1.73328 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  2 instructions:    9000001 cycles:    5808077 heartbeat IPC: 1.69411 cumulative IPC: 1.54957 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  3 instructions:   11000002 cycles:    6246984 heartbeat IPC: 1.75519 cumulative IPC: 1.76085 (Simulation time: 0 hr 1 min 10 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    6254724 heartbeat IPC: 1.98572 cumulative IPC: 1.75867 (Simulation time: 0 hr 1 min 10 sec) 
Heartbeat CPU  1 instructions:   11000000 cycles:    6320916 heartbeat IPC: 1.81324 cumulative IPC: 1.74025 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  2 instructions:   10000003 cycles:    6394200 heartbeat IPC: 1.70613 cumulative IPC: 1.56392 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  2 instructions:   11000002 cycles:    6721012 heartbeat IPC: 3.05986 cumulative IPC: 1.63666 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  3 instructions:   12000000 cycles:    6792743 heartbeat IPC: 1.83231 cumulative IPC: 1.76659 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    6797468 heartbeat IPC: 1.84249 cumulative IPC: 1.76536 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  1 instructions:   12000000 cycles:    6841434 heartbeat IPC: 1.92116 cumulative IPC: 1.75402 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  2 instructions:   12000000 cycles:    7244755 heartbeat IPC: 1.90933 cumulative IPC: 1.65637 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   13000003 cycles:    7366259 heartbeat IPC: 1.75812 cumulative IPC: 1.76480 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  3 instructions:   13000000 cycles:    7370847 heartbeat IPC: 1.72979 cumulative IPC: 1.76371 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  1 instructions:   13000002 cycles:    7372771 heartbeat IPC: 1.88205 cumulative IPC: 1.76325 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  2 instructions:   13000001 cycles:    7830488 heartbeat IPC: 1.70726 cumulative IPC: 1.66018 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    7929274 heartbeat IPC: 1.77615 cumulative IPC: 1.76561 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  3 instructions:   14000003 cycles:    7932534 heartbeat IPC: 1.78036 cumulative IPC: 1.76488 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  1 instructions:   14000001 cycles:    7941673 heartbeat IPC: 1.75777 cumulative IPC: 1.76285 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  2 instructions:   14000001 cycles:    8433219 heartbeat IPC: 1.65911 cumulative IPC: 1.66010 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:    8470765 heartbeat IPC: 1.84675 cumulative IPC: 1.77080 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  1 instructions:   15000003 cycles:    8505159 heartbeat IPC: 1.77467 cumulative IPC: 1.76364 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  3 instructions:   15000003 cycles:    8526427 heartbeat IPC: 1.68380 cumulative IPC: 1.75924 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  2 instructions:   15000002 cycles:    9019464 heartbeat IPC: 1.70577 cumulative IPC: 1.66307 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    9031907 heartbeat IPC: 1.78208 cumulative IPC: 1.77150 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  1 instructions:   16000000 cycles:    9074157 heartbeat IPC: 1.75747 cumulative IPC: 1.76325 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  3 instructions:   16000000 cycles:    9089885 heartbeat IPC: 1.77475 cumulative IPC: 1.76020 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   17000000 cycles:    9565246 heartbeat IPC: 1.87498 cumulative IPC: 1.77727 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  2 instructions:   16000000 cycles:    9596985 heartbeat IPC: 1.73154 cumulative IPC: 1.66719 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  1 instructions:   17000003 cycles:    9644492 heartbeat IPC: 1.75336 cumulative IPC: 1.76266 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  3 instructions:   17000001 cycles:    9662052 heartbeat IPC: 1.74774 cumulative IPC: 1.75946 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   18000000 cycles:   10136895 heartbeat IPC: 1.74933 cumulative IPC: 1.77569 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  2 instructions:   17000003 cycles:   10166260 heartbeat IPC: 1.75663 cumulative IPC: 1.67220 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  1 instructions:   18000001 cycles:   10194000 heartbeat IPC: 1.81981 cumulative IPC: 1.76574 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  3 instructions:   18000000 cycles:   10206609 heartbeat IPC: 1.83635 cumulative IPC: 1.76356 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  0 instructions:   19000000 cycles:   10675449 heartbeat IPC: 1.85682 cumulative IPC: 1.77978 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  2 instructions:   18000003 cycles:   10748796 heartbeat IPC: 1.71663 cumulative IPC: 1.67461 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  1 instructions:   19000000 cycles:   10753546 heartbeat IPC: 1.78716 cumulative IPC: 1.76686 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  3 instructions:   19000000 cycles:   10773214 heartbeat IPC: 1.76490 cumulative IPC: 1.76363 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   11209948 heartbeat IPC: 1.87091 cumulative IPC: 1.78413 (Simulation time: 0 hr 2 min 10 sec) 
Heartbeat CPU  1 instructions:   20000000 cycles:   11287438 heartbeat IPC: 1.87304 cumulative IPC: 1.77188 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  2 instructions:   19000000 cycles:   11313551 heartbeat IPC: 1.77067 cumulative IPC: 1.67940 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  3 instructions:   20000000 cycles:   11339475 heartbeat IPC: 1.76597 cumulative IPC: 1.76375 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  0 instructions:   21000000 cycles:   11816585 heartbeat IPC: 1.64843 cumulative IPC: 1.77716 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  1 instructions:   21000003 cycles:   11845230 heartbeat IPC: 1.79279 cumulative IPC: 1.77287 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  2 instructions:   20000000 cycles:   11902797 heartbeat IPC: 1.69708 cumulative IPC: 1.68028 (Simulation time: 0 hr 2 min 17 sec) 
